ID,Название,Регион,Район,Город,Район города,Адрес,Индекс,Телефон,Мобильный телефон,Email,Сайт,Рубрика,Подрубрика,Рейтинг,Кол-во отзывов,Кол-во оценок,whatsapp,telegram,vkontakte,Широта,Долгота
4504127908497144,"А-сбыт, торговая компания",Москва,,Москва,Нижегородский район,"2-я Фрезерная улица, 14 ст1Б",109202,+7 (495) 640‒35‒07,+7‒963‒712‒04‒44,"a-sbyt@mail.ru, info@a-sale.ru",http://a-sbyt.ru,"Отделочные материалы, Строительные материалы / конструкции","Кирпич, Кровельные материалы, Облицовочный камень, Строительные блоки",5,2,2,+79637120444,https://t.me/+79637120444,,55.739913,37.74605
4504127908565173,"ОгнеупорЭнергоХолдинг, офис",Москва,,Москва,Перово район,"улица Плеханова, 17",111141,+7 (499) 553‒81‒81,+7‒995‒352‒51‒53,"info@ogneypor.ru, visteks@mail.ru",http://ogneypor.ru,"Отделочные материалы, Строительные материалы / конструкции, Химия / Вторсырьё","Асбестотехническая продукция, Кирпич, Материалы для дорожного строительства, Огнезащитные материалы, Огнеупорные материалы, Промышленная химия, Строительные блоки, Стройматериалы, Сухие строительные смеси, Теплоизоляционные материалы, Цемент",5,3,4,+79953525153,https://t.me/ogneyporenergoholding,https://vk.com/ogneypor,55.748889,37.763936
4504127908567637,"Кирилл, торговая фирма",Москва,,Москва,Хорошёвский район,"2-й Хорошёвский проезд, 9 к2",123007,+7 (495) 737‒80‒80,,kerma@kerma.ru,http://xn----gtbdjcdjxigwf.xn--p1ai,Строительные материалы / конструкции,"Кирпич, Строительные блоки, Сухие строительные смеси",,,,,,https://vk.com/club76944104,55.774176,37.530903
4504127908576183,ЛСР. Стеновые материалы,Москва,,Москва,Лефортово район,"Авиамоторная улица, 12",111024,"+7 (495) 139‒21‒11, 8‒800‒222‒87‒87",,"hr.stena@lsrgroup.ru, tupej.la@lsrgroup.ru",http://lsrstena.ru,Строительные материалы / конструкции,"Кирпич, Строительные блоки, Тротуарная плитка",,,,,,https://vk.com/lsr_stroimaterialy,55.753308,37.715457
4504127908576869,"РосМастерСтрой, торгово-производственная компания",Москва,,Москва,Гольяново район,"Щёлковское шоссе, 5",105122,"+7 (495) 638‒54‒92, 8‒800‒505‒54‒92",,info@favoright.ru,http://favoright.ru,"Строительные материалы / конструкции, Химия / Вторсырьё","Железобетонные изделия, Кирпич, Огнеупорные материалы, Промышленная химия, Строительные блоки, Стройматериалы, Сухие строительные смеси",5,1,3,,,https://vk.com/favoright_ru,55.804428,37.756274
4504127908578504,"Стоун, торговая компания",Москва,,Москва,Новогиреево район,"Мартеновская улица, 38 ст2",111394,+7 (495) 974‒72‒32,"+7‒903‒529‒76‒47, +7‒915‒350‒95‒95","s5007080@yandex.ru, stouns24@yandex.ru",http://stouns.ru,Строительные материалы / конструкции,"Кирпич, Песок / Щебень, Строительные блоки, Сухие строительные смеси, Тротуарная плитка",5,17,17,+79153509595,https://t.me/+79153509595,,55.746491,37.806594
4504127908585570,"Стройкомплект, офис продаж",Москва,,Москва,Северное Измайлово район,"Щёлковское шоссе, 100 к5",105523,"+7 (495) 150‒05‒25, +7 (499) 322‒10‒29, +7 (499) 322‒15‒36, 8‒800‒707‒51‒21",+7‒985‒860‒03‒53,"db@strd.ru, dmd@strd.ru, dmi@strd.ru, dp@strd.ru, go@strd.ru, info@strd.ru, is@strd.ru, ivan@gmail.com, kaluga@strd.ru, kd@strd.ru, kl@strd.ru, klin@strd.ru, ks@strd.ru, mk@strd.ru, ml@strd.ru, moj@strd.ru, ms@strd.ru, mt@strd.ru, mv@strd.ru, nn@strd.ru, no@strd.ru, ob@strd.ru, ra@strd.ru, ram@strd.ru, sa@strd.ru, sch@strd.ru, sh@strd.ru, sk137@strd.ru, sk143@strd.ru, sk157@strd.ru, sk19@strd.ru, sk197@strd.ru, sk23@strd.ru, sk86@strd.ru, sk93@strd.ru, so@strd.ru, sp@strd.ru, spb@strd.ru, su@strd.ru, tl@strd.ru, tv@strd.ru, vi@strd.ru, vs@strd.ru, zl@strd.ru",http://strd.ru,"Отделочные материалы, Строительные материалы / конструкции","Гидроизоляционные материалы, ДСП / ДВП / Фанера, Железобетонные изделия, Заборы / Ограждения, Звукоизоляционные материалы, Кирпич, Кровельные материалы, Оргстекло / Поликарбонат, Песок / Щебень, Пиломатериалы / Лесоматериалы, Системы водоотведения, Строительные блоки, Стройматериалы, Сухие строительные смеси, Сэндвич-панели, Теплоизоляционные материалы, Тротуарная плитка, Фасадные материалы / конструкции",5,2,2,"+79055116417, +79858600353",https://t.me/strdru,,55.813045,37.834814
4504127908585579,"Стройкомплект, компания по продаже строительных материалов",Москва,,Троицк,Троицк гор. округ,"Калужское шоссе, 13г",108828,"+7 (495) 150‒05‒25, +7 (499) 322‒10‒29, +7 (499) 653‒63‒06, 8‒800‒707‒51‒21",+7‒985‒922‒34‒08,"db@strd.ru, dmd@strd.ru, dmi@strd.ru, dp@strd.ru, go@strd.ru, info@strd.ru, is@strd.ru, kaluga@strd.ru, kd@strd.ru, kl@strd.ru, klin@strd.ru, ks@strd.ru, mk@strd.ru, ml@strd.ru, moj@strd.ru, ms@strd.ru, mt@strd.ru, mv@strd.ru, nn@strd.ru, no@strd.ru, ob@strd.ru, ra@strd.ru, ram@strd.ru, sa@strd.ru, sch@strd.ru, sh@strd.ru, sk137@strd.ru, sk157@strd.ru, sk19@strd.ru, sk197@strd.ru, sk23@strd.ru, sk93@strd.ru, so@strd.ru, sp@strd.ru, spb@strd.ru, su@strd.ru, tl@strd.ru, tv@strd.ru, vi@strd.ru, vs@strd.ru, zl@strd.ru",http://strd.ru,"Отделочные материалы, Строительные материалы / конструкции","Гидроизоляционные материалы, ДСП / ДВП / Фанера, Железобетонные изделия, Заборы / Ограждения, Звукоизоляционные материалы, Кирпич, Кровельные материалы, Оргстекло / Поликарбонат, Пиломатериалы / Лесоматериалы, Системы водоотведения, Строительные блоки, Стройматериалы, Сухие строительные смеси, Сэндвич-панели, Теплоизоляционные материалы, Тротуарная плитка, Фасадные материалы / конструкции",5,3,3,"+79160900708, +79859223408",https://t.me/strdru,,55.475951,37.31641
4504127908600330,"Торговый дом К.С.М., шоурум",Москва,,Москва,Алексеевский район,"Новоалексеевская улица, 22 к2",129626,"+7 (495) 602‒93‒20, +7 (495) 602‒93‒69, +7 (495) 980‒63‒93",,"info@tdkcm.ru, info@tdksm.ru, info+1775399@tdkcm.ru, info+1871164@tdkcm.ru, info+2009341@tdkcm.ru","http://jivo.chat/z1IKDKcmAs, http://tdksm.ru","Отделочные материалы, Строительные материалы / конструкции","Гипсокартон, Кирпич, Кровельные материалы, Сухие строительные смеси, Тротуарная плитка",5,35,36,,,https://vk.com/tdksm,55.809935,37.65407
4504127908600356,"Мдс, офис",Москва,,Москва,Выхино-Жулебино район,"Рязанский проспект, 86/1 ст3",109542,"+7 (495) 372‒48‒04, +7 (495) 372‒90‒88, +7 (495) 377‒97‒74, +7 (499) 490‒69‒45",,"mdsfirm@mail.ru, motores@mail.ru",http://mds-firm.ru,"Предметы интерьера / экстерьера, Строительные материалы / конструкции","Кирпич, Печи / камины для помещений, Строительные блоки, Сухие строительные смеси, Тротуарная плитка",,,,,,,55.707614,37.830203
4504127908600385,"Областная керамика, группа компаний",Москва,,Москва,Кунцево район,"Рублёвское шоссе, 26 к4",121615,"+7 (495) 665‒15‒11, +7 (495) 771‒39‒08",,"admin@oblkeram.ru, sale@obl-ceram.ru",http://obl-ceram.ru,Строительные материалы / конструкции,"Кирпич, Строительные блоки, Сухие строительные смеси, Теплоизоляционные материалы, Тротуарная плитка",5,1,1,+79261117776,https://t.me/+79261117776,https://vk.com/oblceram,55.746887,37.427184
4504127908602849,Торговая компания,Москва,,Москва,Сокол район,"улица Сурикова, 24",125080,"+7 (499) 198‒75‒02, +7 (499) 198‒75‒03, +7 (499) 943‒86‒02, +7 (499) 943‒86‒03",,"avl@ogneupor.net, mail@ogneupor.net, usjulia@ogneupor.net",http://ogneupor.net,Строительные материалы / конструкции,"Кирпич, Огнеупорные материалы",,,,,,,55.802951,37.499042
4504127908631312,"Каркас.ру, компания по продаже фиброцементных фасадных материалов",Москва,,Москва,Марьина Роща район,"Новосущёвская улица, 37 к4",127030,+7 (499) 115‒08‒29,,info@karkas.ru,http://karkas-facade.ru,"Отделочные материалы, Строительные / монтажные работы, Строительные материалы / конструкции","Кирпич, Облицовочный камень, Фасадные материалы / конструкции, Фасадные работы",5,15,15,,https://t.me/kmew_bot,https://vk.com/facade_karkas,55.788871,37.603243
4504127908683459,"ГК БИС, Шоурум",Москва,,Москва,Бибирево район,"Шенкурский проезд, 3Б",127349,+7 (495) 775‒16‒55,,msk@gkbis.ru,http://moskva.gkbis.ru,Строительные материалы / конструкции,"Кирпич, Кровельные материалы, Строительные блоки, Тротуарная плитка, Фасадные материалы / конструкции",,,,,https://t.me/gkbis_sales,,55.891395,37.59025
