ID,Название,Полное название,Email,Сайт,Раздел,Категории,Мобильные,Немобильные,Факс,Город,Адрес
'70000001023023824,Оборон-Сервис,"Оборон-Сервис, компания",,http://oboron-export.ru,Аварийные / справочные / экстренные службы,Управление ГО и ЧС, , +7 (499) 398-02-75,,г. Москва,"Новоорловская, 3"
'70000001025996864,Московский Авиационный Центр,"Московский Авиационный Центр, ГКУ",,http://mosavia.ru,Аварийные / справочные / экстренные службы,Управление ГО и ЧС, +7-929-965-09-51, +7 (499) 238-42-67,,г. Москва,"Большая Полянка, 41 ст1-2"
'70000001025327193,Управление госэкспертизы и жилищного обеспечения МЧС России,Управление госэкспертизы и жилищного обеспечения МЧС России,,http://www.ge-mchs.ru,Аварийные / справочные / экстренные службы,Управление ГО и ЧС, , +7 (495) 617-20-99,,г. Москва,"Академика Арцимовича, 3Б"
'70000001025422908,Учебно-консультационный пункт по ГО и ЧС,"Учебно-консультационный пункт по ГО и ЧС, Академический район",,,Аварийные / справочные / экстренные службы,Управление ГО и ЧС, +7-963-651-99-47, ,,г. Москва,"Новочерёмушкинская, 20/23"
'70000001025573123,Учебно-консультационный пункт по ГО и ЧС,"Учебно-консультационный пункт по ГО и ЧС, Ломоносовский район",,,Аварийные / справочные / экстренные службы,Управление ГО и ЧС, , +7 (499) 783-27-59,,г. Москва,"Ленинский проспект, 91"
'70000001025241845,Учебно-консультационный пункт по ГО и ЧС,"Учебно-консультационный пункт по ГО и ЧС, Тимирязевский район",,,Аварийные / справочные / экстренные службы,Управление ГО и ЧС, , ,,г. Москва,"Всеволода Вишневского, 5"
'70000001025053744,Главное управление МЧС России по г. Москве,Главное управление МЧС России по г. Москве,,http://www.mchs.gov.ru | http://moscow.mchs.ru,Аварийные / справочные / экстренные службы,Управление ГО и ЧС, , +7 (499) 268-54-80,,г. Москва,"Русаковская, 26 к1"
'70000001026106502,Департамент по делам гражданской обороны,"Департамент по делам гражданской обороны, чрезвычайным ситуациям и пожарной безопасности",,http://www.emercom.mos.ru,Аварийные / справочные / экстренные службы,Управление ГО и ЧС, , +7 (495) 622-93-40,,г. Москва,"Смоленский 1-й переулок, 22/10"
'70000001025079498,ЕДС-Щелково,"ЕДС-Щелково, ООО, единая диспетчерская служба",,http://eds-schelkovo.ru,Аварийные / справочные / экстренные службы,Аварийные службы, , +7 (496) 259-73-09,,г. Москва,"Циолковского, 2"
'4504127911384973,Алекс-2,"Алекс-2, аварийно-спасательная служба",,http://www.alex2.ru,Аварийные / справочные / экстренные службы,Аварийные службы, +7-926-606-66-44, ,,г. Москва,"Ключевая, 24 к1"
'4504127914898826,Пожарная часть №5 ГУ МЧС России по г. Москве,Пожарная часть №5 ГУ МЧС России по г. Москве,,,Аварийные / справочные / экстренные службы,Пожарная охрана, , +7 (495) 305-29-74;+7 (495) 672-01-79,,г. Москва,"Владимирская 2-я, 14"
'70000001025185689,Пожарная часть №83,Пожарная часть №83,,,Аварийные / справочные / экстренные службы,Пожарная охрана, , +7 (495) 342-61-91;+7 (495) 342-58-45,,г. Москва,"Задонский проезд, 1 к3"
