ID,Название,Категории,Индекс,Страна,Регион,Район,Город,Улица,Дом,Полный адрес,Мобильные,Немобильные,Сайт,График,Широта,Долгота,ID сети,Сеть,ID,Название,Категории,Индекс,Страна
27979322451,Picaso 3d,3D-печать | расходные материалы для оргтехники,124460,Россия,Москва,,Зеленоград,4922-й проезд," 4, стр. 3","Россия, Москва, Зеленоград, 4922-й проезд, 4, стр. 3",,+7 (499) 653-87-91,https://picaso-3d.com/,пн-пт 10:00–18:00,55.983872,37.218918,,,,https://facebook.com/picaso3d?fref=ts | https://instagram.com/picaso_3d | https://vk.com/picaso_3d,https://yandex.ru/maps/org/picaso_3d/27979322451,https://picaso-3d.com/ | https://picaso-3d.ru/,+7 (499) 653-87-91
40151438916,Ivilol,Интернет-магазин | 3D-печать,129329,Россия,,,Москва,Игарский проезд," 2, стр. 1","Россия, Москва, Игарский проезд, 2, стр. 1","+7 (917) 569-27-37,+7 (915) 493-33-82",,http://ivilol.ru/,пн-пт 10:00–18:00,55.858288,37.641014,,,Офис/склад,https://vk.com/ivilol,https://yandex.ru/maps/org/ivilol/40151438916,http://ivilol.ru/,+7 (917) 569-27-37 | +7 (915) 493-33-82
155474368461,Лаборатория Трехмерной Печати,3D-печать | студия дизайна | изготовление и оптовая продажа сувениров,107076,Россия,,,Москва,Электрозаводская улица," 29, стр. 1","Россия, Москва, Электрозаводская улица, 29, стр. 1","+7 (964) 536-36-18,+7 (903) 761-29-61",+7 (495) 587-41-40,http://lab3dprint.ru/,,55.792326,37.70647,,,"Способ оплаты(предоплата,постоплата,наличными,оплата картой,электронными деньгами,банковским переводом) | Оплата картой",,https://yandex.ru/maps/org/laboratoriya_trekhmernoy_pechati/155474368461,http://lab3dprint.ru/,+7 (495) 587-41-40 | +7 (964) 536-36-18 | +7 (903) 761-29-61
33143826214,Кикгудс,3D-печать,125047,Россия,,,Москва,улица Бутырский Вал,5,"Россия, Москва, улица Бутырский Вал, 5",,+7 (499) 678-02-55,http://kickgoods.ru/,,55.778558,37.584568,,,,,https://yandex.ru/maps/org/kikguds/33143826214,http://kickgoods.ru/,+7 (499) 678-02-55
15249574950,3Dguru,3D-печать | новые технологии,105425,Россия,,,Москва,Никитинская улица," 14, корп. 1","Россия, Москва, Никитинская улица, 14, корп. 1",,+7 (495) 532-62-90,https://3dgu.ru/,"ежедневно, круглосуточно",55.803489,37.77467,,,Оплата картой,https://vk.com/3dgu_ru,https://yandex.ru/maps/org/3dguru/15249574950,https://3dgu.ru/,+7 (495) 532-62-90
1278329322,Prototypster,3D-печать,127282,Россия,,,Москва,Полярная улица," 39, стр. 1","Россия, Москва, Полярная улица, 39, стр. 1",,"8 (800) 250-85-40,+7 (812) 407-20-48,+7 (383) 310-45-40,+7 (499) 653-53-80",http://prototypster.ru/,,55.893051,37.645582,,,,http://vk.com/prototypster | http://www.facebook.com/prototypster,https://yandex.ru/maps/org/prototypster/1278329322,http://prototypster.ru/,8 (800) 250-85-40 | +7 (812) 407-20-48 | +7 (383) 310-45-40 | +7 (499) 653-53-80
157991846466,Generator 3d,3D-печать | интернет-магазин,129327,Россия,,,Москва,Ленская улица, 2/21,"Россия, Москва, Ленская улица, 2/21",,,http://generator3d.ru/,пн-пт 11:00–19:00,55.865721,37.673881,,,Офис/склад,,https://yandex.ru/maps/org/generator_3d/157991846466,http://generator3d.ru/,
89236167260,3dmarker,3D-печать,105187,Россия,,,Москва,Измайловское шоссе,45,"Россия, Москва, Измайловское шоссе, 45",,+7 (495) 151-86-65,http://3dmarker.ru/,пн-пт 9:00–18:00,55.780558,37.734166,,,,http://instagram.com/3dmarker.ru | http://vk.com/3dmarker,https://yandex.ru/maps/org/3dmarker/89236167260,http://3dmarker.ru/,+7 (495) 151-86-65
95297467423,Студия3Д,3D-печать,141071,Россия,Московская область,,Королёв,Трудовая улица,1,"Россия, Московская область, Королёв, Трудовая улица, 1",,+7 (495) 540-53-61,https://www.st3d.ru/,"пн-пт 9:00–18:00; сб,вс 12:00–17:00",55.927356,37.812608,,,Оплата картой,https://twitter.com/studia3d,https://yandex.ru/maps/org/studiya3d/95297467423,https://www.st3d.ru/,+7 (495) 540-53-61
1618393677,3d Fabrika Ltd,3D-печать,,Россия,Владимирская область,,Александров,," 34, стр. 3","Россия, Владимирская область, Александров, 34, стр. 3",,,,Нет информации,56.391077,38.740179,,,,,https://yandex.ru/maps/org/3d_fabrika_ltd/1618393677,,
169804061327,Cybercom,3D-печать | контрольно-измерительные приборы,111033,Россия,,,Москва,улица Золоторожский Вал," 11, стр. 27","Россия, Москва, улица Золоторожский Вал, 11, стр. 27",,+7 (495) 620-58-78,https://cybercom.ru/,пн-чт 10:00–18:00; пт 10:00–17:00,55.749263,37.701385,,,Оплата картой,https://www.facebook.com/CybercomLtd/,https://yandex.ru/maps/org/cybercom/169804061327,https://cybercom.ru/,+7 (495) 620-58-78
54531542671,3DMapper,IT-компания | 3D-печать,117246,Россия,,,Москва,Научный проезд," 8, стр. 1","Россия, Москва, Научный проезд, 8, стр. 1",,"+7 (499) 346-66-53,+7 (499) 380-71-90",http://www.3dmapper.ru/,"ежедневно, 8:00–20:00",55.655788,37.551483,,,Оплата картой,https://www.instagram.com/3dmapper/ | https://www.youtube.com/channel/UC-Gk8_MF2gn7Ofd28Pfazug,https://yandex.ru/maps/org/3dmapper/54531542671,http://www.3dmapper.ru/ | https://sketchfab.com/3dmapworld,+7 (499) 346-66-53 | +7 (499) 380-71-90
152654548561,НПО РусРедМет,3D-печать,109428,Россия,,,Москва,Рязанский проспект," 8А, корп. 3, стр. 8","Россия, Москва, Рязанский проспект, 8А, корп. 3, стр. 8",,+7 (499) 705-85-43,https://nporusredmet.ru/,пн-пт 8:00–17:00,55.721442,37.752014,,,Оплата картой,https://vk.com/public172935874 | https://www.instagram.com/nporusredmet/,https://yandex.ru/maps/org/npo_rusredmet/152654548561,https://nporusredmet.ru/,+7 (499) 705-85-43
1709576821,3DNetPrint,3D-печать | производственное предприятие,111524,Россия,,,Москва,Электродная улица,8,"Россия, Москва, Электродная улица, 8",+7 (901) 701-39-79,,https://3dnetprint.ru/,"пн-пт 10:00–19:00, перерыв 13:00–14:00; сб,вс 11:00–15:00",55.752703,37.753299,,,Оплата картой,http://facebook.com/3dnetprint | http://instagram.com/3dnetprint | http://vk.com/3dnetprint,https://yandex.ru/maps/org/3dnetprint/1709576821,https://3dnetprint.ru/ | https://3dnetprint.com/,+7 (901) 701-39-79
